hour,c18,age,ed,hi
0,0,69,16,0
40,0,27,12,37400
0,0,58,12,30000
40,2,29,12,18000
20,0,58,12,60000
0,1,36,12,55000
38,0,52,13,33000
37,0,29,16,28000
37,0,46,14,33000
0,0,67,7.5,0
0,0,65,12,0
38,0,51,12,29650
5,2,36,13,0
6,0,22,2.5,12000
32,1,30,14,45000
40,2,34,12,39000
0,3,38,16,39750
14,5,34,11,1200
0,0,48,11,0
0,3,27,12,14500
48,1,43,13,16887
40,2,33,12,28320
0,0,58,12,500
10,0,46,13,1000
50,0,52,21,99999
4,2,23,11,2300
0,2,32,14,11000
40,1,34,20,8809
0,1,37,11,32800
3,0,53,11,0
45,0,26,12,15704
0,5,42,13,41000
32,2,47,12,48200
38,1,43,14,0
0,0,62,12,0
8,1,29,12,0
0,0,63,13,0
0,0,57,10,20000
0,3,34,16,60000
50,3,32,16,33000
45,0,60,12,0
20,0,53,12,45000
29,1,37,12,25400
0,0,70,12,0
45,3,28,12,24000
15,0,52,11,0
0,1,38,13,14000
40,0,57,16,0
40,1,52,16,22000
9,1,54,12,0
